DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	10q23.33	10	94279840	NR	PLCE1, PLCE1-AS1			ENSG00000138193, ENSG00000268894			rs2274224-C	rs2274224	0	2274224	missense_variant	0	0.44	8E-13	12.096910013008056		0.023	[0.017-0.029] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	10q22.1	10	69226967	NR	HKDC1			ENSG00000156510			rs9645500-T	rs9645500	0	9645500	intron_variant	0	0.32	1E-12	12.0		0.025	[0.017-0.033] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	10q26.13	10	122406099	NR	PLEKHA1			ENSG00000107679			rs6585827-A	rs6585827	0	6585827	intron_variant	0	0.47	3E-9	8.522878745280337		0.019	[0.013-0.025] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	10q24.33	10	103184236	NR	NT5C2			ENSG00000076685			rs1163238-A	rs1163238	0	1163238	intron_variant	0	0.39	8E-9	8.096910013008056		0.019	[0.013-0.025] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	11p15.5	11	2135306	NR	IGF2, INS-IGF2			ENSG00000167244, ENSG00000129965			rs3213225-A	rs3213225	0	3213225	intron_variant	0	0.39	3E-13	12.522878745280337		0.026	[0.018-0.034] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	11p15.4	11	10339387	NR	AMPD3			ENSG00000133805			rs2923093-A	rs2923093	0	2923093	intron_variant	0	0.4	2E-8	7.698970004336019		0.018	[0.012-0.024] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	11p13	11	32388791	NR	WT1			ENSG00000184937			rs5030317-C	rs5030317	0	5030317	3_prime_UTR_variant	0	0.29	5E-8	7.301029995663981		0.02	[0.012-0.028] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	12q14.3	12	65978100	NR	HMGA2 - MIR6074	ENSG00000149948	ENSG00000276878		11809	45520	rs7968682-T	rs7968682	0	7968682	intergenic_variant	1	0.47	7E-37	36.15490195998574		0.041	[0.035-0.047] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	12q24.12	12	111466567	NR	ATXN2			ENSG00000204842			rs4766578-A	rs4766578	0	4766578	intron_variant	0	0.48	8E-15	14.096910013008056		0.025	[0.019-0.031] z score increase	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
2020-01-15	31097437	Plotnikov D	2019-05-16	Br J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/31097437	Association between birth weight and refractive error in adulthood: a Mendelian randomisation study.	Birth weight	188,039 European ancestry individuals	NA	12p11.23	12	26724952	NR	ITPR2			ENSG00000123104			rs2306547-T	rs2306547	0	2306547	intron_variant	0	0.45	3E-9	8.522878745280337		0.019	[0.013-0.025] z score decrease	Affymetrix [up to 10400000] (imputed)	N	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST009437	Genome-wide genotyping array
